# time, vdt, omegadt
1.288971842161000013e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971842280999899e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971842401000023e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971842520999908e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971842641000032e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971842760999918e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971842884999990e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843003999949e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843125000000e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843246000051e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843362999916e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843484999895e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843602999926e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843724999905e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843845000029e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971843964999914e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844082999945e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844203000069e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844322999954e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844443000078e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844566999912e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844684999943e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844806999922e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971844924999952e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845046999931e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845164999962e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845286999941e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845407000065e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845526999950e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845647000074e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845766999960e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971845887000084e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846005000114e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846127000093e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846246999979e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846367000103e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846486999989e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846607000113e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846726999998e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846846999884e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971846967000008e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847086999893e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847207000017e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847326999903e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847447000027e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847566999912e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847687000036e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847811000109e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971847930999994e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848051000118e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848167000055e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848292999983e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848411000013e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848530999899e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848651000023e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848770999908e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971848891000032e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849009000063e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849131000042e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849250999928e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849371000051e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849490999937e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849611000061e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849730999947e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849851000071e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971849970999956e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971850091000080e+09 0.000000000000000000e+00 0.000000000000000000e+00
1.288971850210999966e+09 0.000000000000000000e+00 0.000000000000000000e+00
