# time, dx, dy, dtheta
1.288971842161000013e+09 -6.284993539384942096e-05 -3.281252514586441293e-05 0.000000000000000000e+00
1.288971842280999899e+09 1.496658545407925089e-05 -1.450997433050105201e-05 -1.266665607015937667e-04
1.288971842401000023e+09 2.332749994937710625e-05 2.623055375927663135e-05 -1.674500963813052579e-04
1.288971842520999908e+09 -1.606754032201784810e-05 2.636280066159457647e-05 3.941166570831100557e-04
1.288971842641000032e+09 3.773400424011974508e-06 6.738039357578884392e-06 -3.999999999999559464e-04
1.288971842760999918e+09 -1.245885226230925014e-05 -3.861848584119087491e-05 3.999999999999559464e-04
1.288971842884999990e+09 3.057886157165068397e-05 6.853743259149780442e-06 -3.000000000001890044e-04
1.288971843003999949e+09 -1.694498403070898718e-05 3.081834958340579078e-05 1.999999999999779732e-04
1.288971843125000000e+09 8.196395021142777182e-06 -2.298215434493044995e-05 -1.285711852858639759e-04
1.288971843246000051e+09 -7.514056539426050563e-06 -2.328534911377744265e-05 2.285711852860750071e-04
1.288971843362999916e+09 8.954409336681123932e-06 4.375430715697348205e-05 -1.999999999999779732e-04
1.288971843484999895e+09 1.714812654052266794e-05 -2.161861430050038280e-05 1.266677262972137896e-04
1.288971843602999926e+09 1.910887014622275615e-05 -5.063692533457953004e-05 -2.666772629744684764e-05
1.288971843724999905e+09 -7.666879703172035931e-05 7.572373928965703271e-05 1.199999999998979661e-04
1.288971843845000029e+09 6.255997425075321416e-05 -1.369200257492764194e-04 -2.199999999996649080e-04
1.288971843964999914e+09 -5.884817266876840591e-05 1.640282578261320623e-04 3.058818579599886789e-04
1.288971844082999945e+09 7.882160115824099478e-05 -1.108883147296069183e-04 -3.058818579599886789e-04
1.288971844203000069e+09 -4.200008000310173628e-05 5.452003179051700954e-05 1.866661368512545494e-04
1.288971844322999954e+09 6.556682826031057232e-05 -1.271532082967041788e-04 -1.533354525946606373e-04
1.288971844443000078e+09 -1.177615749052840499e-04 1.837640096260528821e-04 4.051298666731817377e-04
1.288971844566999912e+09 1.062378933411878279e-04 -1.357307560772014199e-04 -4.384605509297756498e-04
1.288971844684999943e+09 -6.041214321272914134e-05 5.829284633129816484e-05 1.928560480917163034e-04
1.288971844806999922e+09 8.553567377944659711e-05 -1.550928407212381899e-04 -2.928560480919273346e-04
1.288971844924999952e+09 -8.202931012712966208e-05 1.536352663986662037e-04 5.999999999999339195e-04
1.288971845046999931e+09 3.404927992767259326e-05 1.071813739983440428e-05 -4.999999999997228883e-04
1.288971845164999962e+09 -3.773995581324296467e-05 1.726660128831269958e-05 5.999936421119400620e-05
1.288971845286999941e+09 3.586997483684406518e-05 -1.530825600344343229e-04 4.000063578857293578e-05
1.288971845407000065e+09 -1.824921399995460547e-05 1.462117622423875218e-04 9.998807962796618654e-05
1.288971845526999950e+09 4.313458364102462639e-05 -1.026609513763432346e-04 -9.998807962796618654e-05
1.288971845647000074e+09 -7.676869126871377347e-05 1.118118171969939567e-04 2.333328035097892439e-04
1.288971845766999960e+09 4.889342975966659566e-05 -7.392676786199814387e-05 -2.866666666583306267e-04
1.288971845887000084e+09 9.202401367480739225e-06 -2.992319125993958551e-05 2.533338631485193559e-04
1.288971846005000114e+09 1.133750167636726758e-05 1.254988600685180700e-05 -1.999999999999779732e-04
1.288971846127000093e+09 -1.808822770432705340e-05 3.110002804884715033e-05 -9.999999999976694198e-05
1.288971846246999979e+09 1.654164262920865269e-05 -2.857348747831167657e-05 2.733322737027421567e-04
1.288971846367000103e+09 -3.060341492489015991e-05 7.312345942889209027e-05 -2.333227370243662335e-05
1.288971846486999989e+09 -1.640000223512849686e-05 -1.406000528989537202e-04 7.499962747159472087e-05
1.288971846607000113e+09 4.899987706530328779e-05 8.551012728563733845e-05 -5.349989122152010168e-04
1.288971846726999998e+09 -1.702057031283121802e-05 -4.347767112111711185e-05 4.982354038407521557e-04
1.288971846846999884e+09 -3.902930292787321065e-05 1.710042658382704417e-04 -6.156955839564659527e-05
1.288971846967000008e+09 -7.353414751110065595e-06 -1.256493974217676168e-04 3.615322142316301779e-04
1.288971847086999893e+09 -4.322985474147778007e-06 -6.658391419556153323e-06 -2.484474410469061922e-05
1.288971847207000017e+09 -4.322976885240414902e-06 -6.658378191026770310e-06 -2.484469474284267676e-05
1.288971847326999903e+09 -4.322985474258800309e-06 -6.658391420444331743e-06 -2.484474410469061922e-05
1.288971847447000027e+09 6.546236099524982421e-05 -4.108211065023681385e-05 -2.336645919811530803e-04
1.288971847566999912e+09 -6.072571720505681725e-05 1.211057529673098543e-04 5.571465063614056135e-05
1.288971847687000036e+09 5.475234148588636884e-05 -6.609248914735132985e-05 -2.357146506359875104e-04
1.288971847811000109e+09 1.159068498346460530e-05 -3.825038234950284277e-05 -8.571525885558983759e-05
1.288971847930999994e+09 6.609427868897732594e-06 6.717071798334472987e-06 2.723811837688216997e-04
1.288971848051000118e+09 -3.921049132415976857e-05 7.189005343644083723e-05 -1.679158317813289614e-04
1.288971848167000055e+09 -2.500290156126627750e-05 -9.490018467950278591e-06 2.812499068678420144e-04
1.288971848292999983e+09 5.776665575230044425e-05 -5.967998823752651560e-05 -4.999999999997228883e-04
1.288971848411000013e+09 2.077999999994251112e-05 -2.438000000015705382e-05 3.999999999999559464e-04
1.288971848530999899e+09 -5.714284741142883206e-05 1.070642608986815958e-04 7.142370572310596799e-06
1.288971848651000023e+09 -1.393216898004645543e-05 -6.089256428865041926e-06 -1.071423705720775388e-04
1.288971848770999908e+09 4.428832800240645184e-05 -1.073217262375081305e-04 -5.333386314898547198e-05
1.288971848891000032e+09 -2.981331161089340043e-05 7.548672176760362618e-05 -6.666136851407600261e-06
1.288971849009000063e+09 1.111184802882192457e-05 -4.682823611990016843e-05 1.600000000001600142e-04
